,Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Certificate_nan,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western
23,Sen to Chihiro no kamikakushi,0.9905940594059406,0.2898550724637681,8.6,0.9444444444444444,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,0.27018207765068664,0.010734465146682963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Saving Private Ryan,0.9891089108910891,0.44927536231884063,8.6,0.875,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,0.5223056554251858,0.23118249024417503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,The Green Mile,0.9896039603960396,0.5217391304347827,8.6,0.45833333333333337,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,0.48433793984699025,0.14605079178492897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,La vita è bella,0.9886138613861386,0.2572463768115942,8.6,0.4305555555555556,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,0.258211958298929,0.06149177441928505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Se7en,0.9876237623762376,0.2971014492753623,8.6,0.5138888888888888,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,0.6125947035878003,0.10689496685737673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,The Silence of the Lambs,0.9856435643564356,0.2644927536231884,8.6,0.7916666666666667,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,0.5371428743989488,0.13958265388076616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Star Wars,0.9787128712871287,0.2753623188405797,8.6,0.8611111111111112,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,0.5204372521054589,0.34456314778244407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Seppuku,0.9712871287128713,0.31884057971014496,8.6,0.7916666666666667,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,0.007297601144423998,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Shichinin no samurai,0.9673267326732673,0.5869565217391304,8.6,0.9722222222222221,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,0.12538966411880473,0.00028586225205168167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,It's a Wonderful Life,0.9633663366336633,0.3079710144927536,8.6,0.8472222222222221,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,0.16424046018545121,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
